date,策略净值,等权基准净值
2022-04-06,17744219.478538707,13180141.293829352
2022-04-07,17642929.83853871,13112817.431666287
2022-04-08,17702782.58853871,13130360.255009456
2022-04-11,17679520.878538705,13087490.784711767
2022-04-12,17796763.96853871,13237567.225027531
2022-04-13,18023867.168538705,13409344.811409255
2022-04-14,18081384.44853871,13448239.248377912
2022-04-15,18178773.39853871,13493485.040298421
2022-04-18,18260372.318538707,13584724.355324335
2022-04-19,18225454.98853871,13557957.224576069
2022-04-20,18328780.53853871,13541471.675998796
2022-04-21,18422575.55853871,13604262.605842257
2022-04-22,18393777.78853871,13554249.294422979
2022-04-25,18037751.268538706,13264938.538701374
2022-04-26,18021938.868538707,13228004.321013633
2022-04-27,18111538.818538707,13277581.445507424
2022-04-28,18255419.598538708,13339334.596875202
2022-04-29,18287630.039130528,13423325.812812608
2022-05-05,18538368.974430528,13520660.03726195
2022-05-06,18858452.962930527,13570648.713073928
2022-05-09,18273379.98133053,13240425.627544971
2022-05-10,18028049.553830527,13046452.69987958
2022-05-11,18463837.871530525,13193773.228431467
2022-05-12,18584960.06713053,13305840.859697236
2022-05-13,18879226.938730527,13402719.231128074
2022-05-16,19027988.170030527,13525524.232095256
2022-05-17,18881301.04033053,13535281.821935065
2022-05-18,18474568.91753053,13394028.001719624
2022-05-19,18634954.31213053,13401461.885042418
2022-05-20,18788276.208130527,13533671.397493685
2022-05-23,18736244.305130526,13553551.240202416
2022-05-24,18736004.79953053,13471754.669518992
2022-05-25,18784152.28943053,13464873.847969402
2022-05-26,19104741.899330527,13538694.891951479
2022-05-27,19325734.631130528,13719050.831911262
2022-05-30,19263247.56603053,13743567.481161907
2022-05-31,19189099.64220692,13737025.483893767
2022-06-01,19104444.49220692,13664961.518579392
2022-06-02,19326132.31220692,13758788.590442758
2022-06-06,19446237.04220692,13914773.008780321
2022-06-07,19567924.86220692,13986740.245165186
2022-06-08,19847858.45220692,14137735.29433883
2022-06-09,19904438.79220692,14179899.723412052
2022-06-10,19832816.99220692,14107837.398977533
2022-06-13,19804009.02220692,14051244.544419557
2022-06-14,19665580.872206923,13884534.856395766
2022-06-15,19420234.44220692,13778299.028189192
2022-06-16,19346034.10220692,13732538.862622906
2022-06-17,18906828.68220692,13545996.961532433
2022-06-20,18938808.622206923,13510925.076977337
2022-06-21,18889168.51220692,13455928.14751917
2022-06-22,18524356.74220692,13313597.318573412
2022-06-23,18017962.11220692,13044335.907110399
2022-06-24,18089388.65220692,12921473.81961655
2022-06-27,18259330.65220692,12896597.656403132
2022-06-28,18616616.40220692,13090182.398862075
2022-06-29,18541010.07220692,13045039.423628192
2022-06-30,18188701.98205792,12947885.456999814
2022-07-01,18188701.98205792,12811678.529923793
2022-07-04,18188701.98205792,12741729.525908723
2022-07-05,18188701.98205792,12491054.641359057
2022-07-06,18188701.98205792,12185935.823779099
2022-07-07,18188701.98205792,12329791.831073591
2022-07-08,18188701.98205792,12487702.023856115
2022-07-11,18188701.98205792,12436223.67202655
2022-07-12,18188701.98205792,12214562.584551727
2022-07-13,18188701.98205792,12050675.691740304
