date,策略净值,恒生ETF_净值,纳指ETF_净值,日经ETF_净值,德国ETF_净值,标普500ETF_净值,黄金ETF_净值
2021-08-23,1210946.56395812,894725.7285955325,1853249.153421369,1205006.3926850688,1198327.8342384782,1479599.6214191027,1230472.3525937744
2021-08-24,1219133.39645812,914441.5155569781,1854028.8627645345,1213996.7412999787,1204107.550480786,1478145.8134283347,1239595.1380572862
2021-08-25,1216330.1658581202,913425.1316358686,1853129.1981378049,1211799.100527445,1200254.4063192476,1479653.4661595018,1232828.6041309638
2021-08-26,1210728.38515812,904143.0602245196,1841913.3791245748,1208902.2104181964,1197364.548198094,1471092.1524360897,1229092.300615125
2021-08-27,1217791.13605812,904955.9097228973,1864464.9724345987,1206205.1058337234,1202180.9784000167,1487030.1955941396,1239292.0258655932
2021-08-30,1222199.70775812,907123.9377827545,1879999.1816561313,1211799.100527445,1206034.1225615551,1489237.8299504912,1242894.6034145085
2021-08-31,1225371.82425812,919522.7910662508,1877420.1430595063,1224285.695825931,1201217.6923596323,1487407.1087769314,1243063.098132832
2021-09-01,1229437.1818581198,925891.6150281841,1881378.667417117,1239669.1812336654,1202180.9784000167,1487945.5561809195,1242456.8737494461
2021-09-02,1230284.3958581202,927788.4785564904,1878079.8971191081,1240368.4305703805,1205070.8365211706,1490368.5694988663,1242153.7615577532
2021-09-03,1233210.9272581202,921419.6545945571,1883597.84016305,1266340.548791231,1203144.2644404015,1489507.0536524854,1241042.9445258433
2021-09-06,1242594.7235581202,929956.5066163475,1882098.3991185005,1291113.9538634266,1214703.6969250168,1489507.0536524854,1249122.6674473528
2021-09-07,1243229.02865812,936460.5907959187,1885457.1470582916,1302901.299825197,1206997.40860194,1483368.75324702,1246058.5597919154
2021-09-08,1238363.51955812,937205.8101854775,1882578.2202527563,1308894.8655684702,1188694.973834632,1484553.3375357941,1234074.0386362437
2021-09-09,1229958.51135812,915119.1048377176,1873821.4845525876,1304199.9057362399,1185805.1157134783,1476530.4712163701,1228519.953476693
2021-09-10,1233819.68105812,931853.3701446537,1857927.4094803631,1323079.63782755,1184841.8296730933,1464092.3361842434,1231516.3066422227
2021-09-13,1231153.00185812,917083.5984748431,1855228.415600174,1324877.7075505322,1189658.2598750168,1465653.833655809,1227711.3571300297
2021-09-14,1229310.28315812,905972.293644007,1849350.6067055403,1333868.0561654416,1190621.545915401,1457577.1225959866,1227879.8518483532
2021-09-15,1227868.4384581202,889440.918663528,1863085.4866736133,1328573.7397588838,1181951.9715519396,1469746.0339261193,1231482.4293972687
2021-09-16,1220465.8270581202,874129.4620268901,1860146.5822262964,1321581.2463917318,1182915.2575923242,1463930.801963047,1221584.9248320472
