date,策略净值,银行ETF基准净值,芯片ETF基准净值
2023-12-18,13755.17,13016.812933025405,14529.871692060944
2023-12-19,13797.689999999999,13007.20554272517,14651.062550120289
2023-12-20,13696.54,12969.976905311778,14454.290296712106
2023-12-21,13796.789999999999,13028.822170900692,14615.878107457896
2023-12-22,13713.3,13042.03233256351,14386.52766639936
2023-12-25,13615.35,13052.840646651268,14124.599037690457
2023-12-26,13462.64,13030.02309468822,13776.663993584601
2023-12-27,13584.919999999998,13078.060046189377,14009.923817161185
2023-12-28,13733.92,13183.741339491919,14222.333600641537
2023-12-29,13830.189999999999,13288.221709006928,14304.430633520447
2023-12-31,13819.269999999999,13288.221709006928,14303.127506014433
2024-01-02,13639.019999999999,13154.919168591223,14050.320769847634
2024-01-03,13600.519999999999,13222.17090069284,13840.517241379312
2024-01-04,13579.519999999999,13253.39491916859,13734.96391339214
2024-01-05,13568.019999999999,13392.702078521937,13478.247794707297
2024-01-08,13325.019999999999,13299.030023094687,12997.39374498797
2024-01-09,13326.019999999999,13344.665127020784,12925.721732157177
2024-01-10,13238.269999999999,13283.418013856814,12796.712109061747
2024-01-11,13295.269999999999,13266.605080831407,12972.634322373697
2024-01-12,13234.769999999999,13357.875288683605,12666.399358460303
2024-01-15,13303.769999999999,13437.136258660506,12717.221331194867
2024-01-16,13416.269999999999,13600.461893764434,12744.587008821169
2024-01-17,13222.769999999999,13509.191685912241,12388.83319967923
2024-01-18,13329.519999999999,13539.21478060046,12618.18364073777
2024-01-19,13319.769999999999,13538.013856812931,12594.72734562951
2024-01-22,13134.769999999999,13509.191685912241,12159.482758620688
2024-01-23,13187.269999999999,13499.584295612009,12311.948676824377
2024-01-24,13270.019999999999,13700.13856812933,12201.182838813153
2024-01-25,13508.769999999999,13910.300230946885,12481.355252606254
2024-01-26,13460.769999999999,14121.662817551964,12012.229350441057
2024-01-29,13424.769999999999,14241.755196304848,11722.935044105852
2024-01-30,13119.269999999999,14104.84988452656,11149.558941459503
2024-01-31,13022.519999999999,14115.658198614317,10879.811547714515
2024-02-01,13020.269999999999,14023.187066974595,11024.458700882116
2024-02-02,12875.519999999999,14036.397228637416,10625.7016840417
2024-02-05,12929.519999999999,14192.517321016167,10512.329591018442
2024-02-06,13334.519999999999,14365.450346420323,11286.387329591018
2024-02-07,13396.769999999999,14265.773672055426,11610.866078588611
2024-02-08,13478.519999999999,14194.919168591223,11939.254210104249
2024-02-19,13772.769999999999,14460.323325635101,12274.157979149959
2024-02-20,13769.269999999999,14568.4064665127,12089.11387329591
2024-02-21,13998.269999999999,14957.505773672057,12052.626303127507
2024-02-22,14089.769999999999,14971.916859122399,12267.642341619887
2024-02-23,14175.769999999999,15053.579676674364,12358.861267040898
2024-02-26,13991.269999999999,14678.891454965358,12487.870890136326
2024-02-27,14250.519999999999,14689.699769053117,13145.950280673615
2024-02-28,13953.519999999999,14651.270207852192,12434.442662389734
2024-02-29,14290.769999999999,14717.321016166281,13205.894145950282
2024-03-01,14340.52,14701.709006928406,13360.966319165998
2024-03-04,14277.019999999999,14574.411085450347,13402.66639935846
2024-03-05,14390.769999999999,14835.011547344111,13274.959903769042
2024-03-06,14234.519999999999,14713.718244803695,13065.15637530072
2024-03-07,14156.269999999999,14772.563510392609,12765.437048917402
2024-03-08,14237.269999999999,14750.94688221709,13011.728147554131
2024-03-11,14287.52,14713.718244803695,13203.28789093825
2024-03-12,14221.769999999999,14587.621247113162,13237.169206094628
2024-03-13,14133.019999999999,14471.131639722864,13195.469125902164
2024-03-14,14038.019999999999,14449.515011547344,12983.059342421811
