date,FAPP,DIV_bench,NDX_bench,BOND_bench,GOLD_bench
2025-10-17,26381119.15676179,23726000.0,38449781.65938865,12978729.48166203,34455577.074815296
2025-10-20,26291112.31026179,23734000.0,38951965.06550218,12959201.35582892,33664280.41986467
2025-10-21,26401953.301861793,23809999.999999996,38908296.94323144,12968436.98823171,34107424.14460943
2025-10-22,26104017.51816179,23960000.0,38537117.90393013,12964876.03305785,32782344.64289984
2025-10-23,26130124.52006179,24084000.0,38842794.75982533,12958049.2820962,32518700.236711863
2025-10-24,26118087.47116179,23952000.0,39257641.92139738,12951412.956544919,32324759.10384238
2025-10-27,26203734.20206179,23969999.999999996,39934497.816593885,12960743.80165289,32156822.800851207
2025-10-28,26008326.44386179,23940000.0,40218340.61135372,12986327.455535667,30977653.444277074
2025-10-29,26099941.38836179,23740000.0,40393013.10043668,12988831.549681988,31537804.55730101
2025-10-30,25973691.51196179,23767999.999999996,39803493.449781656,13001618.615988117,31330138.918776754
2025-10-31,26114917.44766179,23756000.0,40000000.0,13016138.553528583,31833957.391865723
2025-11-03,26220580.53796179,24072000.0,40174672.48908296,13017680.999352552,31780866.987064537
2025-11-04,26129334.69026179,24331999.999999996,39344978.16593886,13014891.267090678,31659154.053989433
2025-11-05,26133275.21586179,24331999.999999996,39650655.02183406,13016328.978938947,31434158.23828994
2025-11-06,26053405.89126179,24324000.0,38864628.8209607,13004027.497429255,31709356.095928077
2025-11-07,26030954.86926179,24330000.0,38733624.45414847,12998248.086224625,31710436.840972673
2025-11-10,26359111.670461792,24554000.0,39606986.89956332,13002961.115131201,32287564.25890061
2025-11-11,26443645.87666179,24622000.0,39475982.53275108,13004408.348249987,32702168.66317577
2025-11-12,26474541.45796179,24804000.0,39432314.41048034,13008445.366949765,32634273.007675204
2025-11-13,26436022.68486179,24768000.0,38646288.20960698,13003732.338043189,33126882.33746982
2025-11-14,26331174.07246179,24680000.0,38646288.20960698,13002485.051605286,32744059.48879803
2025-11-17,26105512.094561793,24484000.0,38318777.29257642,13008064.516129032,32167295.50725678
2025-11-18,25880487.187861793,24308000.0,37882096.069869,13007293.293217046,31667819.142577052
2025-11-19,26062987.201661788,24368000.0,38100436.68122271,13003065.849106902,32300561.891782034
2025-11-20,25911184.75096179,24474000.0,37227074.23580786,13005274.783867158,32115295.41161562
2025-11-21,25834482.232361794,24188000.0,37489082.96943232,13003541.912632821,31924242.641608685
2025-11-24,25961146.13376179,24032000.0,38449781.65938865,13005750.847393077,31976252.30136528
2025-11-25,26147774.77406179,24182000.0,38668122.27074236,13000752.180370947,32511479.32955551
2025-11-26,26151453.040861793,24042000.0,38995633.18777292,12982956.925772173,32498118.260287404
2025-11-27,26174991.16236179,24089999.999999996,38973799.126637556,12970074.64676086,32594543.672142126
2025-11-28,26249877.75166179,24049999.999999996,39279475.98253275,12981804.852039456,32738282.763072956
2025-12-01,26347486.276061792,24216000.000000004,39126637.55458516,12987574.741973566,33092939.291777257
2025-12-02,26370379.97286179,24196000.0,39475982.53275108,12981033.629127469,32969418.740884207
2025-12-03,26310442.28886179,24076000.0,39541484.716157205,12975463.685874242,32802572.747053064
2025-12-04,26252044.65906179,23964000.0,39475982.53275108,12952469.817572454,32776204.48078809
2025-12-05,26311204.270561792,23832000.0,39672489.082969435,12976806.185017327,33022872.582072068
2025-12-08,26262618.68236179,23772000.000000004,39585152.838427946,12976615.75960696,32938727.49444086
2025-12-09,26190199.910561793,23644000.0,39650655.02183406,12981709.63933427,32697836.11888196
2025-12-10,26211466.198161792,23532000.0,39803493.449781656,12981614.426629087,32827850.704158004
2025-12-11,26186581.158361793,23492000.0,39628820.96069869,12990459.686940625,32878416.182483327
2025-12-12,26110457.18296179,23400000.0,38842794.75982533,12976520.546901777,33286516.98826005
2025-12-15,26186128.79936179,23485999.999999996,38646288.20960698,12964209.544121565,33718461.13382589
2025-12-16,26080749.05406179,23365999.999999996,38711790.3930131,12970169.859466046,33307098.96468451
2025-12-17,26026793.30406179,23384000.0,37969432.314410485,12984404.15889096,33575802.78793965
2025-12-18,26206184.73626179,23622000.0,38537117.90393013,12984594.584301328,33672955.07256773
2025-12-19,26279585.96106179,23588000.0,39017467.248908296,12993344.631907681,33671147.45474978
2025-12-22,26391482.675261788,23448000.000000004,39203056.76855895,12985365.807213312,34264887.74119504
2025-12-23,26538987.84616179,23490000.000000004,39371179.039301306,12999314.468522677,34750993.47249122
2025-12-24,26562359.80766179,23506000.0,39447598.253275104,13000371.329550214,34779169.35657414
2025-12-25,26528995.350461792,23542000.0,39403930.13100436,12996619.948965989,34614838.725103416
2025-12-26,26542303.62066179,23500000.0,39366812.227074236,13000837.871805612,34753527.963082515
2025-12-29,26478606.50216179,23514000.0,39165938.86462882,12974901.930913659,34648427.89852474
2025-12-30,26293847.66816179,23482000.0,39078602.62008734,12970455.497581594,33884953.255385794
2025-12-31,26190358.07105959,23490000.000000004,38722707.42358079,12978681.87530944,33642617.698395625
2026-01-05,26340252.26395959,23472000.0,38919213.973799124,12972578.740907187,34283662.09980155
2026-01-06,26456196.42565959,23494000.0,39253275.10917031,12952745.934417486,34609061.99937833
2026-01-07,26398738.078259587,23370000.000000004,39281659.38864629,12942291.579388352,34493852.664801665
2026-01-08,26304017.538659588,23222000.0,39061135.37117904,12956611.570247933,34373593.47727327
2026-01-09,26418923.91705959,23232000.0,39419213.973799124,12962419.54526412,34623513.37780648
2026-01-12,26576672.08845959,23274000.0,39438864.628820956,12976834.74882888,35319455.80183153
2026-01-13,26594921.98745959,23336000.0,39364628.82096069,12986222.721559964,35364598.42670301
2026-01-14,26550252.40865959,23098000.0,38954148.471615724,12994544.311992992,35810984.38658155
2026-01-15,26523384.199759588,23038000.0,39048034.93449782,12992706.706782952,35682050.5463501
2026-01-16,26463738.595359586,22848000.0,39026200.873362444,13008778.611417906,35624991.03364178
2026-01-19,26556689.51605959,22872000.0,39008733.62445415,13012158.662451915,36074628.79276953
2026-01-20,26580574.30765959,23200000.0,38157205.240174666,13021451.422477815,36443363.69939985
2026-01-21,26825455.701059587,23003999.999999996,38676855.895196505,13023679.399779104,37525026.89907467
2026-01-22,26852545.29985959,23034000.0,38971615.72052401,13016900.25517005,37382731.98957512
2026-01-23,27029337.34155959,22956000.0,39054585.15283843,13029287.428114407,38298620.376347944
